[2025-01-19T12:11:24.146Z] INFO: Server is running on port 3000
[2025-01-19T12:11:27.050Z] INFO: Connected to MongoDB
[2025-01-19T12:12:39.881Z] INFO: Server is running on port 3000
[2025-01-19T12:12:42.678Z] INFO: Connected to MongoDB
[2025-01-19T12:15:37.450Z] INFO: Server is running on port 3000
[2025-01-19T12:15:38.404Z] INFO: Connected to MongoDB
[2025-01-19T12:17:23.212Z] INFO: MT: GET | PA: /logs/ | AU: Authenticated | ST: 404 | RT: 4.00 ms
[2025-01-19T12:17:23.216Z] INFO: MT: GET | PA: /logs/ | AU: Authenticated | ST: 404 | RT: 1.00 ms
[2025-01-19T12:18:06.736Z] INFO: Server is running on port 3000
[2025-01-19T12:18:09.537Z] INFO: Connected to MongoDB
[2025-01-19T12:18:35.684Z] INFO: MT: GET | PA: /static/profile/64e9ba8eaeba5be8be479d00.https://universitykart.b-cdn.net//Content/upload/admin/xgguhkwb.zwq.jpg | AU: Unauthenticated | ST: 404 | RT: 3.00 ms
[2025-01-19T12:18:35.696Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 7.00 ms
[2025-01-19T12:18:35.709Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 5.00 ms
[2025-01-19T12:18:37.321Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 5.00 ms
[2025-01-19T12:18:37.348Z] INFO: MT: POST | PA: /maintainance | AU: Authenticated | ST: 200 | RT: 3.00 ms
[2025-01-19T12:18:37.334Z] INFO: MT: POST | PA: /maintainance | AU: Authenticated | ST: 200 | RT: 3.00 ms
[2025-01-19T12:18:37.358Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 3.00 ms
[2025-01-19T12:18:37.380Z] INFO: MT: GET | PA: /static/profile/64e9ba8eaeba5be8be479d00.https://universitykart.b-cdn.net//Content/upload/admin/xgguhkwb.zwq.jpg | AU: Unauthenticated | ST: 404 | RT: 1.00 ms
[2025-01-19T12:20:24.586Z] INFO: MT: POST | PA: /maintainance | AU: Authenticated | ST: 200 | RT: 3.00 ms
[2025-01-19T12:20:24.594Z] INFO: MT: POST | PA: /maintainance | AU: Authenticated | ST: 200 | RT: 3.00 ms
[2025-01-19T12:23:05.775Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 4.00 ms
[2025-01-19T12:23:05.781Z] INFO: MT: POST | PA: /maintainance | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:23:05.786Z] INFO: MT: POST | PA: /maintainance | AU: Authenticated | ST: 200 | RT: 3.00 ms
